Target,Target Aliases,Therapeutic Area,Development Phase,Exclusive Partership,Launched Drugs
GAST,"GAST, GAS","Oncology, Others",F0,No,#N/A
GFRA3,"GFRA3, GDNFR3","Oncology, Others",F0,No,#N/A
GHR,"GHR, GHBP, GHIP","Metabolism, Oncology, Inflammation and Autoimmunity, Infectious Disease",F0,No,#N/A
HDGF,"HDGF, HMG1L2",Oncology,F0,No,#N/A
HPN,"HPN, TMPRSS1",Oncology,F0,No,#N/A
IL20R1,"IL20R1, CRF2-8, IL-20R1","Oncology,Gastrointestinal",F0,No,#N/A
IL27,IL27,Oncology,F0,No,#N/A
ITGA7,ITGA7,Oncology,F0,No,#N/A
KREMEN2,"KREMEN2, KRM2",Oncology,F0,No,#N/A
LCK,"LCK, LSK, YT16",Oncology,F0,No,#N/A
LGALS3BP,"LGALS3BP, M2BP, gp90",Oncology,F0,No,#N/A
LGR6,"LGR6, GPCR, VTS20631",Oncology,F0,No,#N/A
MARCO,"MARCO, SR-A6, SCARA2",Oncology,F0,No,#N/A
MLC,"MLC, LVM, MLC","Cardiovascular,Oncology",F0,No,#N/A
VLDLR,"VLDLR, CAMRQ1, CARMQ1","Inflammation and Autoimmunity, Cardiovascular",F0,No,#N/A
CRIg,"CRIg, CRIg, Z39IG","Others, Infectious Diseases",F0,No,#N/A
